20131113 174432.838 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         
20131113 174432.996 org.eclipse.paho.client.mqttv3.internal.ClientComms              internalSend                   testConnect: internalSend key=Con message=CONNECT clientId testConnect keepAliveInterval 60 token=org.eclipse.paho.client.mqttv3.MqttToken@74e551a4
20131113 174432.996 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            testConnect: wait for 60,000 ms for new work or for space in the inflight window
20131113 174432.996 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            testConnect: wait for workAvailable
20131113 174432.996 org.eclipse.paho.client.mqttv3.internal.ClientState              send                           testConnect: pending send key=0 message CONNECT clientId testConnect keepAliveInterval 60
20131113 174432.996 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Con message=CONNECT clientId testConnect keepAliveInterval 60
20131113 174432.997 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Con token=org.eclipse.paho.client.mqttv3.MqttToken@74e551a4
20131113 174432.997 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            testConnect: network send key=Con msg=CONNECT clientId testConnect keepAliveInterval 60
20131113 174432.997 org.eclipse.paho.client.mqttv3.internal.wire.MqttOutputStream     write                          null: 500
20131113 174432.997 org.eclipse.paho.client.mqttv3.internal.ClientState              notifySent                     testConnect: key=Con
20131113 174432.997 org.eclipse.paho.client.mqttv3.internal.Token                    notifySent                     testConnect: > key=Con
20131113 174432.998 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            testConnect: wait for 60,000 ms for new work or for space in the inflight window
20131113 174433.056 org.eclipse.paho.client.mqttv3.internal.wire.MqttInputStream     readMqttWireMessage            null: 501
20131113 174433.057 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyReceivedAck              testConnect: received key=0 message=CONNACK msgId 0 return code: 0
20131113 174433.057 org.eclipse.paho.client.mqttv3.internal.ClientState              clearState                     testConnect: >
20131113 174433.057 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          clear                          testConnect: > 1 tokens
20131113 174433.057 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Con message=CONNACK msgId 0 return code: 0
20131113 174433.057 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Con token=org.eclipse.paho.client.mqttv3.MqttToken@74e551a4
20131113 174433.057 org.eclipse.paho.client.mqttv3.internal.ClientState              connected                      testConnect: connected
20131113 174433.057 org.eclipse.paho.client.mqttv3.internal.ClientComms              connectComplete                testConnect: state=CONNECTED
20131113 174433.058 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   testConnect: >key=Con response=CONNACK msgId 0 return code: 0 excep=null
20131113 174433.058 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyResult                   testConnect: keyCon, msg=CONNACK msgId 0 return code: 0, excep=null
20131113 174433.058 org.eclipse.paho.client.mqttv3.internal.CommsCallback            asyncOperationComplete         testConnect: new workAvailable. key=Con
20131113 174433.058 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          removeToken                    testConnect: key=Con
20131113 174433.058 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            testConnect: network read message
20131113 174433.058 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleActionComplete           testConnect: callback and notify for key=Con
20131113 174433.058 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            testConnect: wait for 59,939 ms for new work or for space in the inflight window
20131113 174433.058 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 testConnect: >key=Con response=CONNACK msgId 0 return code: 0 excep=null
20131113 174433.059 org.eclipse.paho.client.mqttv3.internal.CommsCallback            fireActionEvent                testConnect: call onSuccess key=Con
20131113 174433.059 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   testConnect: >key=null response=null excep=null
20131113 174433.059 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 testConnect: >key=null response=null excep=null
20131113 174433.059 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testConnect: key=null response=null
20131113 174433.059 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyComplete                 testConnect: received key=0 token=org.eclipse.paho.client.mqttv3.MqttToken@74e551a4 message=CONNACK msgId 0 return code: 0
20131113 174433.059 org.eclipse.paho.client.mqttv3.test.BasicTest                    testConnect                    clientId = testConnect
20131113 174433.059 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            testConnect: notify spaceAvailable
20131113 174433.059 org.eclipse.paho.client.mqttv3.test.BasicTest                    testConnect                    isConnected = true
20131113 174433.059 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            testConnect: wait for workAvailable
20131113 174433.059 org.eclipse.paho.client.mqttv3.test.BasicTest                    testConnect                    ServerURI = tcp://m2m.eclipse.org:1883
20131113 174433.060 org.eclipse.paho.client.mqttv3.test.BasicTest                    testConnect                    Disconnecting...
20131113 174433.060 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     testConnect: > quiesceTimeout=30,000 userContext=null callback=null
20131113 174433.060 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnect                     testConnect: state=DISCONNECTING
20131113 174433.061 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     testConnect: <
20131113 174433.061 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnectBG:run               testConnect: >
20131113 174433.061 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              testConnect: key=null wait max=-1 token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174433.061 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        testConnect: timeout=30,000
20131113 174433.061 org.eclipse.paho.client.mqttv3.internal.CommsCallback            quiesce                        testConnect: quiesce notify spaceAvailable
20131113 174433.062 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testConnect: >key=null timeout=-1 sent=false completed=false hasException=false response=null token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174433.062 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                testConnect: notifying queueLock holders
20131113 174433.062 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testConnect: key=null wait max=-1
20131113 174433.062 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        testConnect: finished
20131113 174433.062 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            testConnect: wait for 59,935 ms for new work or for space in the inflight window
20131113 174433.062 org.eclipse.paho.client.mqttv3.internal.ClientComms              internalSend                   testConnect: internalSend key=Disc message=DISCONNECT token=org.eclipse.paho.client.mqttv3.MqttToken@711aed03
20131113 174433.062 org.eclipse.paho.client.mqttv3.internal.ClientState              send                           testConnect: pending send key=0 message DISCONNECT
20131113 174433.062 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Disc message=DISCONNECT
20131113 174433.062 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Disc token=org.eclipse.paho.client.mqttv3.MqttToken@711aed03
20131113 174433.062 org.eclipse.paho.client.mqttv3.internal.Token                    waitUntilSent                  testConnect: wait key=Disc
20131113 174433.063 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            testConnect: network send key=Disc msg=DISCONNECT
20131113 174433.063 org.eclipse.paho.client.mqttv3.internal.wire.MqttOutputStream     write                          null: 500
20131113 174433.063 org.eclipse.paho.client.mqttv3.internal.ClientState              notifySent                     testConnect: key=Disc
20131113 174433.063 org.eclipse.paho.client.mqttv3.internal.Token                    notifySent                     testConnect: > key=Disc
20131113 174433.063 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   testConnect: >key=Disc response=null excep=null
20131113 174433.063 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            testConnect: wait for 59,993 ms for new work or for space in the inflight window
20131113 174433.063 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             testConnect: state=DISCONNECTING
20131113 174433.064 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           testConnect: stopping
20131113 174433.064 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           testConnect: notify workAvailable and wait for run
20131113 174433.064 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            testConnect: notify spaceAvailable
20131113 174433.064 org.eclipse.paho.client.mqttv3.internal.CommsCallback            stop                           testConnect: stopped
20131113 174433.064 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           testConnect: stopping
20131113 174433.065 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            testConnect: Stopping due to IOException
20131113 174433.065 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            testConnect: <
20131113 174433.065 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            stop                           testConnect: stopped
20131113 174433.068 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          quiesce                        testConnect: resp=Client is currently disconnecting (32102)
20131113 174433.068 org.eclipse.paho.client.mqttv3.internal.ClientComms              handleOldTokens                testConnect: >
20131113 174433.068 org.eclipse.paho.client.mqttv3.internal.ClientState              resolveOldTokens               testConnect: reason null
20131113 174433.068 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingTokens           testConnect: >
20131113 174433.069 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          removeToken                    testConnect: key=Disc
20131113 174433.069 org.eclipse.paho.client.mqttv3.internal.ClientState              disconnected                   testConnect: disconnected
20131113 174433.069 org.eclipse.paho.client.mqttv3.internal.ClientState              clearState                     testConnect: >
20131113 174433.069 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          clear                          testConnect: > 0 tokens
20131113 174433.069 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           testConnect: stopping sender
20131113 174433.069 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                testConnect: notifying queueLock holders
20131113 174433.069 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            testConnect: no outstanding flows and not connected
20131113 174433.069 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            testConnect: get message returned null, stopping}
20131113 174433.070 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            testConnect: <
20131113 174433.070 org.eclipse.paho.client.mqttv3.internal.CommsSender              stop                           testConnect: stopped
20131113 174433.071 org.eclipse.paho.client.mqttv3.internal.ClientComms              shutdownConnection             testConnect: state=DISCONNECTED
20131113 174433.071 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleActionComplete           testConnect: callback and notify for key=Disc
20131113 174433.071 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 testConnect: >key=Disc response=null excep=null
20131113 174433.071 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testConnect: key=Disc response=null
20131113 174433.071 org.eclipse.paho.client.mqttv3.test.BasicTest                    testConnect                    Re-Connecting...
20131113 174433.072 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   connect                        testConnect: cleanSession=true connectionTimeout=30 TimekeepAlive=60 userName=null password=[null] will=[null] userContext=null callback=null
20131113 174433.072 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   createNetworkModules           testConnect: URI=tcp://m2m.eclipse.org:1883
20131113 174433.072 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   createNetworkModule            testConnect: URI=tcp://m2m.eclipse.org:1883
20131113 174433.072 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   createNetworkModules           testConnect: <
20131113 174433.076 org.eclipse.paho.client.mqttv3.internal.ClientComms              connect                        testConnect: state=CONNECTING
20131113 174433.076 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          open                           testConnect: >
20131113 174433.076 org.eclipse.paho.client.mqttv3.internal.ClientComms              connectBG:run                  testConnect: >
20131113 174433.076 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              testConnect: key=null wait max=-1 token=key=null ,topics= ,usercontext=org.eclipse.paho.client.mqttv3.MqttAsyncClient@55bf756b ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=org.eclipse.paho.client.mqttv3.internal.ConnectActionListener@2cccf2e0
20131113 174433.076 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingDelTokens        testConnect: >
20131113 174433.077 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Con message=CONNECT clientId testConnect keepAliveInterval 60
20131113 174433.077 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testConnect: >key=null timeout=-1 sent=false completed=false hasException=false response=null token=key=null ,topics= ,usercontext=org.eclipse.paho.client.mqttv3.MqttAsyncClient@55bf756b ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=org.eclipse.paho.client.mqttv3.internal.ConnectActionListener@2cccf2e0
20131113 174433.077 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Con token=org.eclipse.paho.client.mqttv3.MqttToken@435d671a
20131113 174433.077 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testConnect: key=null wait max=-1
20131113 174433.077 org.eclipse.paho.client.mqttv3.internal.TCPNetworkModule         start                          testConnect: connect to host m2m.eclipse.org port 1,883 timeout 30,000
20131113 174433.148 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            start                          testConnect: starting
20131113 174433.148 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            testConnect: network read message
20131113 174433.148 org.eclipse.paho.client.mqttv3.internal.ClientComms              internalSend                   testConnect: internalSend key=Con message=CONNECT clientId testConnect keepAliveInterval 60 token=org.eclipse.paho.client.mqttv3.MqttToken@435d671a
20131113 174433.148 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            testConnect: wait for 60,000 ms for new work or for space in the inflight window
20131113 174433.148 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            testConnect: wait for workAvailable
20131113 174433.149 org.eclipse.paho.client.mqttv3.internal.ClientState              send                           testConnect: pending send key=0 message CONNECT clientId testConnect keepAliveInterval 60
20131113 174433.149 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Con message=CONNECT clientId testConnect keepAliveInterval 60
20131113 174433.149 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Con token=org.eclipse.paho.client.mqttv3.MqttToken@435d671a
20131113 174433.149 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            testConnect: network send key=Con msg=CONNECT clientId testConnect keepAliveInterval 60
20131113 174433.149 org.eclipse.paho.client.mqttv3.internal.wire.MqttOutputStream     write                          null: 500
20131113 174433.149 org.eclipse.paho.client.mqttv3.internal.ClientState              notifySent                     testConnect: key=Con
20131113 174433.149 org.eclipse.paho.client.mqttv3.internal.Token                    notifySent                     testConnect: > key=Con
20131113 174433.150 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            testConnect: wait for 60,000 ms for new work or for space in the inflight window
20131113 174433.207 org.eclipse.paho.client.mqttv3.internal.wire.MqttInputStream     readMqttWireMessage            null: 501
20131113 174433.207 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyReceivedAck              testConnect: received key=0 message=CONNACK msgId 0 return code: 0
20131113 174433.207 org.eclipse.paho.client.mqttv3.internal.ClientState              clearState                     testConnect: >
20131113 174433.207 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          clear                          testConnect: > 1 tokens
20131113 174433.207 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Con message=CONNACK msgId 0 return code: 0
20131113 174433.208 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Con token=org.eclipse.paho.client.mqttv3.MqttToken@435d671a
20131113 174433.208 org.eclipse.paho.client.mqttv3.internal.ClientState              connected                      testConnect: connected
20131113 174433.208 org.eclipse.paho.client.mqttv3.internal.ClientComms              connectComplete                testConnect: state=CONNECTED
20131113 174433.208 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   testConnect: >key=Con response=CONNACK msgId 0 return code: 0 excep=null
20131113 174433.208 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyResult                   testConnect: keyCon, msg=CONNACK msgId 0 return code: 0, excep=null
20131113 174433.208 org.eclipse.paho.client.mqttv3.internal.CommsCallback            asyncOperationComplete         testConnect: new workAvailable. key=Con
20131113 174433.208 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          removeToken                    testConnect: key=Con
20131113 174433.208 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            testConnect: network read message
20131113 174433.208 org.eclipse.paho.client.mqttv3.internal.CommsCallback            handleActionComplete           testConnect: callback and notify for key=Con
20131113 174433.208 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            testConnect: wait for 59,941 ms for new work or for space in the inflight window
20131113 174433.209 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 testConnect: >key=Con response=CONNACK msgId 0 return code: 0 excep=null
20131113 174433.209 org.eclipse.paho.client.mqttv3.internal.CommsCallback            fireActionEvent                testConnect: call onSuccess key=Con
20131113 174433.209 org.eclipse.paho.client.mqttv3.internal.Token                    markComplete                   testConnect: >key=null response=null excep=null
20131113 174433.209 org.eclipse.paho.client.mqttv3.internal.Token                    notifyComplete                 testConnect: >key=null response=null excep=null
20131113 174433.209 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testConnect: key=null response=null
20131113 174433.209 org.eclipse.paho.client.mqttv3.test.BasicTest                    testConnect                    Disconnecting...
20131113 174433.209 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyComplete                 testConnect: received key=0 token=org.eclipse.paho.client.mqttv3.MqttToken@435d671a message=CONNACK msgId 0 return code: 0
20131113 174433.209 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            testConnect: notify spaceAvailable
20131113 174433.209 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     testConnect: > quiesceTimeout=30,000 userContext=null callback=null
20131113 174433.209 org.eclipse.paho.client.mqttv3.internal.CommsCallback            run                            testConnect: wait for workAvailable
20131113 174433.210 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnect                     testConnect: state=DISCONNECTING
20131113 174433.210 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   disconnect                     testConnect: <
20131113 174433.210 org.eclipse.paho.client.mqttv3.internal.ClientComms              disconnectBG:run               testConnect: >
20131113 174433.210 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              testConnect: key=null wait max=-1 token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174433.210 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        testConnect: timeout=30,000
20131113 174433.210 org.eclipse.paho.client.mqttv3.internal.CommsCallback            quiesce                        testConnect: quiesce notify spaceAvailable
20131113 174433.210 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testConnect: >key=null timeout=-1 sent=false completed=false hasException=false response=null token=key=null ,topics= ,usercontext=null ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=null
20131113 174433.210 org.eclipse.paho.client.mqttv3.internal.ClientState              notifyQueueLock                testConnect: notifying queueLock holders
20131113 174433.211 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testConnect: key=null wait max=-1
20131113 174433.211 org.eclipse.paho.client.mqttv3.internal.ClientState              quiesce                        testConnect: finished
20131113 174433.211 org.eclipse.paho.client.mqttv3.internal.ClientState              get                            testConnect: wait for 59,938 ms for new work or for space in the inflight window
20131113 174433.211 org.eclipse.paho.client.mqttv3.internal.ClientComms              internalSend                   testConnect: internalSend key=Disc message=DISCONNECT token=org.eclipse.paho.client.mqttv3.MqttToken@7c20ba62
20131113 174433.211 org.eclipse.paho.client.mqttv3.internal.ClientState              send                           testConnect: pending send key=0 message DISCONNECT
20131113 174433.211 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Disc message=DISCONNECT
20131113 174433.211 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Disc token=org.eclipse.paho.client.mqttv3.MqttToken@7c20ba62
20131113 174433.211 org.eclipse.paho.client.mqttv3.internal.Token                    waitUntilSent                  testConnect: wait key=Disc
20131113 174433.211 org.eclipse.paho.client.mqttv3.internal.CommsSender              run                            testConnect: network send key=Disc msg=DISCONNECT
20131113 174433.212 org.eclipse.paho.client.mqttv3.internal.wire.MqttOutputStream     write                          null: 500
20131113 174433.212 org.eclipse.paho.client.mqttv3.internal.ClientState              notifySent                     testConnect: key=Disc
